Venue,columna_id,Keyword,Impr,Clicks
Granary Live,40401,granary live,90.0,13.0
Granary Live,40401,granary live tickets,41.0,8.0
Granary Live,40401,the granary live,34.0,3.0
Granary Live,40401,granary live salt lake city,17.0,3.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn gainesville ga,777.0,356.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn gainesville,305.0,130.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn hall gainesville ga,192.0,40.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn events,121.0,24.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn tickets,111.0,34.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn gainesville georgia,96.0,33.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn hall at bourbon brothers events,92.0,6.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn music hall gainesville ga,72.0,29.0
Boot Barn Hall at Bourbon Brothers,40251,boot hall gainesville ga,41.0,6.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn gainesville ga concert,30.0,14.0
Boot Barn Hall at Bourbon Brothers,40251,boot barn hall at bourbon brothers ga,19.0,3.0
Boot Barn Hall at Bourbon Brothers,40251,bootbarn gainesville,10.0,5.0
Grewal Hall at 224,40082,grewal hall,77.0,19.0
Grewal Hall at 224,40082,grewal hall at 224 upcoming events,39.0,2.0
Grewal Hall at 224,40082,grewal hall at 224,27.0,3.0
No Fun,39874,no fun,537.0,5.0
Blue Room Comedy Club,39860,the blue room springfield mo,98.0,17.0
Blue Room Comedy Club,39860,blue room comedy club,79.0,10.0
Blue Room Comedy Club,39860,blue room comedy,49.0,11.0
Blue Room Comedy Club,39860,blue room comedy club springfield,16.0,3.0
Blue Room Comedy Club,39860,blue room comedy club tickets,11.0,3.0
The Song and Dance,39599,best song and dance performance,51388.0,220.0
The Song and Dance,39599,song and dance,3496.0,18.0
The Song and Dance,39599,the song and dance,541.0,0.0
The Song and Dance,39599,song and dance syracuse,57.0,11.0
The Song and Dance,39599,the song and dance syracuse,31.0,7.0
The Port Comedy Club,39326,the port comedy club,48.0,0.0
The Port Comedy Club,39326,the port comedy club baltimore,10.0,0.0
The Post OG,39302,the post orange grove,227.0,28.0
The Post OG,39302,the post og,185.0,24.0
The Post OG,39302,og post,92.0,10.0
The Post OG,39302,post orange grove,71.0,21.0
The Post OG,39302,the post orange grove tx,62.0,13.0
The Post OG,39302,the post og events,51.0,6.0
